Fecha,BrilloSolar,Precipitacion,temperaturaMedia,temperaturaMinima,temperaturaMaxima,AmplitudTermica
2005-01-01,,0,20.9,19.8,22,2.2
2005-01-02,,0,18.7,15.4,22,6.6
2005-01-03,,14,18.75,16.3,21.2,4.9
2005-01-04,,2.3,20,16.4,23.6,7.2
2005-01-05,,9.1,17.7,16.4,19,2.6
2005-01-06,,0,19.3,15.4,23.2,7.8
2005-01-07,,1,19.25,15.1,23.4,8.3
2005-01-08,,12.3,18.8,16.4,21.2,4.8
2005-01-09,,1,18.5,16,21,5
2005-01-10,,27,20.2,17,23.4,6.4
2005-01-11,,0,19.8,16.2,23.4,7.2
2005-01-12,,7.6,20.3,16.4,24.2,7.8
2005-01-13,,18,19.7,16,23.4,7.4
2005-01-14,,0,19,15,23,8
2005-01-15,,2.5,18.1,13.6,22.6,9
2005-01-16,,6,17.9,16,19.8,3.8
2005-01-17,,17.4,17.7,15.2,20.2,5
2005-01-18,,35,18.1,15,21.2,6.2
2005-01-19,,6,17.7,16,19.4,3.4
2005-01-20,,2.7,19.9,15.6,24.2,8.6
2005-01-21,,8.2,18.1,14.8,21.4,6.6
2005-01-22,,18.5,18.9,15.2,22.6,7.4
2005-01-23,,44.2,18.4,15.4,21.4,6
2005-01-24,,22.8,17.6,15,20.2,5.2
2005-01-25,,10.5,18.7,14.8,22.6,7.8
2005-01-26,,0,,,,
2005-01-27,,0,19.4,14,24.8,10.8
2005-01-28,,28,20.6,14,27.2,13.2
2005-01-29,,32.2,17.7,15.2,20.2,5
2005-01-30,,5.9,18.7,16.6,20.8,4.2
2005-01-31,,0,18.7,14.4,23,8.6
2005-02-01,,0,,,,
2005-02-02,,12,,,,
2005-02-03,,0,19.7,16.2,23.2,7
2005-02-04,,0,18.7,16.2,21.2,5
2005-02-05,,0,19.6,14.2,25,10.8
2005-02-06,,0.3,19.85,15.3,24.4,9.1
2005-02-07,,7,20.1,17.2,23,5.8
2005-02-08,,17,18.9,16.4,21.4,5
2005-02-09,,1.5,19.2,16.2,22.2,6
2005-02-10,,3.5,,,,
2005-02-11,,61,17.6,15.6,19.6,4
2005-02-12,,3.4,,,,
2005-02-13,,0.2,17.5,12.4,22.6,10.2
2005-02-14,,4.1,19,14,24,10
2005-02-15,,32,17,14,20,6
2005-02-16,,29,,,,
2005-02-17,,0,18.2,14.8,21.6,6.8
2005-02-18,,0,20.2,16.2,24.2,8
2005-02-19,,1.2,18.9,16,21.8,5.8
2005-02-20,,9.4,18.5,16.8,20.2,3.4
2005-02-21,,0,20.2,16.2,24.2,8
2005-02-22,,0.5,18.9,13.8,24,10.2
2005-02-23,,9.6,19.8,15,24.6,9.6
2005-02-24,,0,21.4,16.6,26.2,9.6
2005-02-25,,0,20.3,16,24.6,8.6
2005-02-26,,10,19.5,15.2,23.8,8.6
2005-02-27,,0.5,18.2,15.2,21.2,6
2005-02-28,,23.4,18.4,17,19.8,2.8
2005-03-01,,8.7,20.1,15.8,24.4,8.6
2005-03-02,,29.7,19.9,17,22.8,5.8
2005-03-03,,27.6,18.2,15.8,20.6,4.8
2005-03-04,,37.6,18.4,16.8,20,3.2
2005-03-05,,0.5,18.6,16,21.2,5.2
2005-03-06,,63.4,17.8,15.8,19.8,4
2005-03-07,,10,18.2,15.2,21.2,6
2005-03-08,,4.1,19.1,16.4,21.8,5.4
2005-03-09,,8.3,18.5,15.8,21.2,5.4
2005-03-10,,6.7,18.2,16.2,20.2,4
2005-03-11,,0,19.6,16,23.2,7.2
2005-03-12,,0.7,18.9,16.6,21.2,4.6
2005-03-13,,0,20,15.8,24.2,8.4
2005-03-14,,9.3,18.4,14.6,22.2,7.6
2005-03-15,,7,17.6,15,20.2,5.2
2005-03-16,,9.2,18,14.8,21.2,6.4
2005-03-17,,1.1,17.6,14,21.2,7.2
2005-03-18,,4,18,16.2,19.8,3.6
2005-03-19,,0.1,17,12.8,21.2,8.4
2005-03-20,,73.7,17.5,15.2,19.8,4.6
2005-03-21,,0,17.6,14,21.2,7.2
2005-03-22,,0,20.5,15.6,25.4,9.8
2005-03-23,,0,19.5,16.8,22.2,5.4
2005-03-24,,3,18.9,15.4,22.4,7
2005-03-25,,0,19.7,17.8,21.6,3.8
2005-03-26,,13,17.2,13.2,21.2,8
2005-03-27,,3.3,17.9,16,19.8,3.8
2005-03-28,,7.2,18.1,13.8,22.4,8.6
2005-03-29,,4.2,18.25,15.3,21.2,5.9
2005-03-30,,0,17.8,13.8,21.8,8
2005-03-31,,16.5,,,,
2005-04-01,,0,18.2,13.4,23,9.6
2005-04-02,,0,18.9,16.4,21.4,5
2005-04-03,,1,19.1,16.8,21.4,4.6
2005-04-04,,0,20.8,15.8,25.8,10
2005-04-05,,0,21.7,16.2,27.2,11
2005-04-06,,0.4,18.5,15.2,21.8,6.6
2005-04-07,,0.5,18.9,17,20.8,3.8
2005-04-08,,1,19.8,16.4,23.2,6.8
2005-04-09,,0,20.3,16,24.6,8.6
2005-04-10,,0,18.1,14.8,21.4,6.6
2005-04-11,,0.6,18.1,15.6,20.6,5
2005-04-12,,0,19.6,15,24.2,9.2
2005-04-13,,0,18.8,15.2,22.4,7.2
2005-04-14,,0,21.6,18,25.2,7.2
2005-04-15,,0,20.3,16.2,24.4,8.2
2005-04-16,,0,22.2,16.2,28.2,12
2005-04-17,,6,20.9,17.2,24.6,7.4
2005-04-18,,0,19.3,16.2,22.4,6.2
2005-04-19,,11.8,17.7,14.2,21.2,7
2005-04-20,,21.5,18.15,16.2,20.1,3.9
2005-04-21,,1,17.9,15.8,20,4.2
2005-04-22,,16.2,20,15.8,24.2,8.4
2005-04-23,,24.8,18.6,16,21.2,5.2
2005-04-24,,4,18.1,16.2,20,3.8
2005-04-25,,27,19.6,15.4,23.8,8.4
2005-04-26,,4,18.7,15.4,22,6.6
2005-04-27,,1.4,18.1,16,20.2,4.2
2005-04-28,,0.4,20.8,19.6,22,2.4
2005-04-29,,23.7,19.4,16,22.8,6.8
2005-04-30,,1,17.1,14,20.2,6.2
2005-05-01,,0,20,15.6,24.4,8.8
2005-05-02,,20.4,18.1,16,20.2,4.2
2005-05-03,,4.2,19.3,14.8,23.8,9
2005-05-04,,14,19.4,15.8,23,7.2
2005-05-05,,2.4,18.1,15,21.2,6.2
2005-05-06,,7.3,18.3,15.4,21.2,5.8
2005-05-07,,0,18.35,15.1,21.6,6.5
2005-05-08,,7.5,18.1,16.8,19.4,2.6
2005-05-09,,2.8,17.45,14.8,20.1,5.3
2005-05-10,,0,19.5,15.2,23.8,8.6
2005-05-11,,0,20.1,16,24.2,8.2
2005-05-12,,0,20.7,15.8,25.6,9.8
2005-05-13,,1,20.1,16,24.2,8.2
2005-05-14,,4.7,18.1,16.8,19.4,2.6
2005-05-15,,12,20.2,16.2,24.2,8
2005-05-16,,1.5,17.7,15.8,19.6,3.8
2005-05-17,,8,17.8,15.8,19.8,4
2005-05-18,,13,17.2,14.2,20.2,6
2005-05-19,,0,17.3,14.2,20.4,6.2
2005-05-20,,0,17.9,15.2,20.6,5.4
2005-05-21,,0,19.2,14.2,24.2,10
2005-05-22,,11.5,17.5,15.2,19.8,4.6
2005-05-23,,4.3,17,14.8,19.2,4.4
2005-05-24,,6.5,,,,
2005-05-25,,0,19.8,15.4,24.2,8.8
2005-05-26,,12.5,18.7,15,22.4,7.4
2005-05-27,,1,18.3,15.4,21.2,5.8
2005-05-28,,0,20.2,15.8,24.6,8.8
2005-05-29,,0,20.4,16,24.8,8.8
2005-05-30,,1,18.7,16.2,21.2,5
2005-05-31,,0,18.1,16,20.2,4.2
2005-06-01,,8.9,18.5,15.8,21.2,5.4
2005-06-02,,2.7,17.2,14.2,20.2,6
2005-06-03,,9.2,17.6,14,21.2,7.2
2005-06-04,,0,19,18,20,2
2005-06-05,,2,19.1,16.8,21.4,4.6
2005-06-06,,21,18.2,16.4,20,3.6
2005-06-07,,6.8,17.6,14,21.2,7.2
2005-06-08,,0,19.1,16.6,21.6,5
2005-06-09,,0,18.5,15.4,21.6,6.2
2005-06-10,,0,20.7,17.2,24.2,7
2005-06-11,,6.6,18.3,15.4,21.2,5.8
2005-06-12,,0,18.7,15,22.4,7.4
2005-06-13,,21,18.1,15,21.2,6.2
2005-06-14,,0,17.4,15,19.8,4.8
2005-06-15,,0,20.3,16.4,24.2,7.8
2005-06-16,,0,20.2,16.2,24.2,8
2005-06-17,,0,20.2,15.6,24.8,9.2
2005-06-18,,0,20.3,16,24.6,8.6
2005-06-19,,0,18.7,16.2,21.2,5
2005-06-20,,2.5,18.6,16,21.2,5.2
2005-06-21,,0,18,14.8,21.2,6.4
2005-06-22,,0,18.5,13.2,23.8,10.6
2005-06-23,,0,,,,
2005-06-24,,0,,,,
2005-06-25,,0,20.1,15.6,24.6,9
2005-06-26,,0,20.8,16.8,24.8,8
2005-06-27,,1,18.5,16,21,5
2005-06-28,,5,17.5,15.2,19.8,4.6
2005-06-29,,3,18.4,15.6,21.2,5.6
2005-06-30,,0.1,17.3,14.8,19.8,5
2005-07-01,,0,19.6,15,24.2,9.2
2005-07-02,,0,16.6,15,18.2,3.2
2005-07-03,,0,18.3,15.2,21.4,6.2
2005-07-04,,0,18.6,17.4,19.8,2.4
2005-07-05,,1.5,17.2,15,19.4,4.4
2005-07-06,,0,18.3,15,21.6,6.6
2005-07-07,,0,21.2,15.8,26.6,10.8
2005-07-08,,0,19.4,14.2,24.6,10.4
2005-07-09,,0,20.3,15,25.6,10.6
2005-07-10,,0,20.1,14,26.2,12.2
2005-07-11,,0,20.8,15,26.6,11.6
2005-07-12,,0,17.55,15.3,19.8,4.5
2005-07-13,,0.5,16.9,14,19.8,5.8
2005-07-14,,1.4,22.6,15.6,29.6,14
2005-07-15,,0,18.2,15.2,21.2,6
2005-07-16,,0.5,16.5,13.2,19.8,6.6
2005-07-17,,0,18.5,15.8,21.2,5.4
2005-07-18,,0,18.8,15.4,22.2,6.8
2005-07-19,,0,17.8,14,21.6,7.6
2005-07-20,,0,16.8,13.4,20.2,6.8
2005-07-21,,0,20.6,15,26.2,11.2
2005-07-22,,0,20.4,16,24.8,8.8
2005-07-23,,0,20.75,15.3,26.2,10.9
2005-07-24,,0,20.1,15,25.2,10.2
2005-07-25,,0,23.5,16.8,30.2,13.4
2005-07-26,,0,22,18.2,25.8,7.6
2005-07-27,,0,20.5,16.2,24.8,8.6
2005-07-28,,0,23.7,19.8,27.6,7.8
2005-07-29,,0,23.7,19.8,27.6,7.8
2005-07-30,,0,17.8,16,19.6,3.6
2005-07-31,,,20.4,16.2,24.6,8.4
2005-08-01,,0,18.3,15,21.6,6.6
2005-08-02,,0,21.5,16.8,26.2,9.4
2005-08-03,,0,21.9,17.6,26.2,8.6
2005-08-04,,0,21.5,16.8,26.2,9.4
2005-08-05,,0,21.6,15,28.2,13.2
2005-08-06,,0,22.1,16,28.2,12.2
2005-08-07,,0,21.9,14.4,29.4,15
2005-08-08,,0,21.1,15.8,26.4,10.6
2005-08-09,,0,21.2,16.2,26.2,10
2005-08-10,,0,22.2,15.8,28.6,12.8
2005-08-11,,0,18.8,16.4,21.2,4.8
2005-08-12,,0,20.3,14.4,26.2,11.8
2005-08-13,,0,17.3,14.8,19.8,5
2005-08-14,,0,16.7,14.8,18.6,3.8
2005-08-15,,1.5,19.4,16,22.8,6.8
2005-08-16,,0,18,14.8,21.2,6.4
2005-08-17,,13.5,18.3,15.4,21.2,5.8
2005-08-18,,0.1,16.8,13.8,19.8,6
2005-08-19,,0,18.6,16,21.2,5.2
2005-08-20,,0,19.4,18.8,20,1.2
2005-08-21,,0,18.9,16.6,21.2,4.6
2005-08-22,,0,17,14.2,19.8,5.6
2005-08-23,,49,17.5,13.6,21.4,7.8
2005-08-24,,28.3,17.3,14.8,19.8,5
2005-08-25,,0,17.75,14.3,21.2,6.9
2005-08-26,,0,19,13.8,24.2,10.4
2005-08-27,,0,19.6,15,24.2,9.2
2005-08-28,,0,17.6,14,21.2,7.2
2005-08-29,,2.4,18.4,17.2,19.6,2.4
2005-08-30,,1.5,17.9,14.6,21.2,6.6
2005-08-31,,1,18.25,16.3,20.2,3.9
2005-09-01,,0,17.4,13.2,21.6,8.4
2005-09-02,,1.5,18.9,14,23.8,9.8
2005-09-03,,0,20.15,16.1,24.2,8.1
2005-09-04,,0,18.2,15.2,21.2,6
2005-09-05,,0,18.1,15,21.2,6.2
2005-09-06,,0,20.3,15,25.6,10.6
2005-09-07,,0,21,15.6,26.4,10.8
2005-09-08,,0,20.2,17,23.4,6.4
2005-09-09,,0,20.2,16.2,24.2,8
2005-09-10,,0,18.8,16.4,21.2,4.8
2005-09-11,,0,18.8,16.4,21.2,4.8
2005-09-12,,0,20,15.8,24.2,8.4
2005-09-13,,0,18.4,15.6,21.2,5.6
2005-09-14,,0,18.4,15.6,21.2,5.6
2005-09-15,,0,21.6,16,27.2,11.2
2005-09-16,,0,22.5,16.8,28.2,11.4
2005-09-17,,0,21.7,18.8,24.6,5.8
2005-09-18,,0,20.9,16.2,25.6,9.4
2005-09-19,,0,17.6,15.2,20,4.8
2005-09-20,,0,18,16.2,19.8,3.6
2005-09-21,,0.3,18.1,15.8,20.4,4.6
2005-09-22,,1.6,16.3,15,17.6,2.6
2005-09-23,,4.4,17.2,15,19.4,4.4
2005-09-24,,0,17.5,14.8,20.2,5.4
2005-09-25,,0.5,18.95,15.8,22.1,6.3
2005-09-26,,15.5,17.4,15.2,19.6,4.4
2005-09-27,,2.5,17.1,14.4,19.8,5.4
2005-09-28,,6,17.1,14.6,19.6,5
2005-09-29,,19.5,17.6,14,21.2,7.2
2005-09-30,,0,16.6,13,20.2,7.2
2005-10-01,,3,18.45,15.3,21.6,6.3
2005-10-02,,1,17.6,15,20.2,5.2
2005-10-03,,6.6,16.5,13.2,19.8,6.6
2005-10-04,,1.1,19.2,18.6,19.8,1.2
2005-10-05,,4.6,18.8,15,22.6,7.6
2005-10-06,,0.6,17.9,14.2,21.6,7.4
2005-10-07,,0,19.3,15,23.6,8.6
2005-10-08,,0,18.3,15.4,21.2,5.8
2005-10-09,,7.8,17.8,15.8,19.8,4
2005-10-10,,36.9,16.9,14.2,19.6,5.4
2005-10-11,,9.8,19.3,14.4,24.2,9.8
2005-10-12,,4.7,20.6,15,26.2,11.2
2005-10-13,,4.6,17.1,14.4,19.8,5.4
2005-10-14,,3,20,15.4,24.6,9.2
2005-10-15,,3.2,16.25,14.1,18.4,4.3
2005-10-16,,7.1,18.1,14.4,21.8,7.4
2005-10-17,,0,17.5,15.2,19.8,4.6
2005-10-18,,0,17.45,15.3,19.6,4.3
2005-10-19,,0,18.65,15.9,21.4,5.5
2005-10-20,,43,17.6,16,19.2,3.2
2005-10-21,,25.6,17.2,14.6,19.8,5.2
2005-10-22,,7.5,16.75,13.4,20.1,6.7
2005-10-23,,16.6,15.55,13,18.1,5.1
2005-10-24,,9.7,16.7,14.2,19.2,5
2005-10-25,,17.3,17.1,15,19.2,4.2
2005-10-26,,0.7,17.4,13.6,21.2,7.6
2005-10-27,,45,17.4,15.4,19.4,4
2005-10-28,,2,17.6,15.2,20,4.8
2005-10-29,,0,17.9,14.6,21.2,6.6
2005-10-30,,7.4,17.7,15.8,19.6,3.8
2005-10-31,,0,18.2,16,20.4,4.4
2005-11-01,,0,18.75,16.3,21.2,4.9
2005-11-02,,24,18.5,15,22,7
2005-11-03,,0,18.7,15,22.4,7.4
2005-11-04,,9.2,19.4,16.2,22.6,6.4
2005-11-05,,0.5,17.5,13.8,21.2,7.4
2005-11-06,,3.7,17.8,16.4,19.2,2.8
2005-11-07,,2,18.3,15.4,21.2,5.8
2005-11-08,,5,17.5,15.2,19.8,4.6
2005-11-09,,37,18.7,16,21.4,5.4
2005-11-10,,13.4,17.2,14.2,20.2,6
2005-11-11,,4,17.3,15.6,19,3.4
2005-11-12,,4.2,17.3,14.8,19.8,5
2005-11-13,,9,18.1,15,21.2,6.2
2005-11-14,,31,18.2,17.2,19.2,2
2005-11-15,,18.9,18.4,14.8,22,7.2
2005-11-16,,11.5,17.6,15,20.2,5.2
2005-11-17,,18.7,18.2,16.6,19.8,3.2
2005-11-18,,5,18.4,15.8,21,5.2
2005-11-19,,2.7,17.9,16,19.8,3.8
2005-11-20,,6.7,18.25,16.4,20.1,3.7
2005-11-21,,90,18,16.4,19.6,3.2
2005-11-22,,4.5,16.6,14.4,18.8,4.4
2005-11-23,,10,18.4,15.2,21.6,6.4
2005-11-24,,0,17.4,12,22.8,10.8
2005-11-25,,0,18.9,13,24.8,11.8
2005-11-26,,4.1,16.5,12.8,20.2,7.4
2005-11-27,,0,17.75,14.3,21.2,6.9
2005-11-28,,11.5,17.6,16.2,19,2.8
2005-11-29,,13.8,19.4,15.6,23.2,7.6
2005-11-30,,9,18,15.8,20.2,4.4
2005-12-01,,0.2,17.9,13.8,22,8.2
2005-12-02,,0,17.7,15.2,20.2,5
2005-12-03,,15.2,17.75,15.3,20.2,4.9
2005-12-04,,15.2,16.9,14.2,19.6,5.4
2005-12-05,,25.9,17.4,15.4,19.4,4
2005-12-06,,0,16.7,12.2,21.2,9
2005-12-07,,21.7,18,15,21,6
2005-12-08,,22,18.15,16.1,20.2,4.1
2005-12-09,,0,17.6,15,20.2,5.2
2005-12-10,,0,19.3,14.3,24.3,10
2005-12-11,,2,18.2,15,21.4,6.4
2005-12-12,,1.4,18.1,16.2,20,3.8
2005-12-13,,29.5,17.5,14.8,20.2,5.4
2005-12-14,,22,17.5,14.8,20.2,5.4
2005-12-15,,2.7,16.9,14.2,19.6,5.4
2005-12-16,,0,18.3,15.2,21.4,6.2
2005-12-17,,8.3,17.2,14.8,19.6,4.8
2005-12-18,,34,16.4,13.2,19.6,6.4
2005-12-19,,6.6,17.1,15,19.2,4.2
2005-12-20,,8.6,17.55,15,20.1,5.1
2005-12-21,,2,17.1,14,20.2,6.2
2005-12-22,,6.3,18,14.4,21.6,7.2
