Fecha,BrilloSolar,Brillo_solar1,brillo_solar2,brillo_solarProm,Precipitacion,precipitacion1,precipitacion2,precipitacion3,precipitacionProm,temperaturaMedia,temperatura_media1,temp_media2,temp_media3,temp_mediaProm,temperaturaMinima,temp_minima1,temp_minima2,temp_minima3,temp_minimaProm,temperaturaMaxima,temp_maxima1,temp_maxima2,temp_maxima3,temp_maximaProm,amplitud_termica
2005-01-01,,,,,0,0,0,0,0,20.9,10.6,19.3,,16.9333333333333,19.8,7.6,16.5,16.6,15.125,22,14.6,23.8,21.2,20.4,5.275
2005-01-02,,,,,0,0,2.1,0.2,0.575,18.7,12.5333333333333,20.4,,17.2111111111111,15.4,8.6,16.6,16.2,14.2,22,13.2,22.2,22.4,19.95,5.75
2005-01-03,,,,,14,0,6.3,0.2,5.125,18.75,11.4666666666667,20.75,,16.9888888888889,16.3,9.4,15.6,16.4,14.425,21.2,12.6,23.2,21.4,19.6,5.175
2005-01-04,,,,,2.3,0,6.9,4.5,3.425,20,11.6666666666667,20.7,,17.4555555555556,16.4,8.8,16.2,17,14.6,23.6,14,23.8,23,21.1,6.5
2005-01-05,,,,,9.1,0,2.2,33.2,11.125,17.7,10.4666666666667,21.8,,16.6555555555556,16.4,9.4,16.4,15.4,14.4,19,14.6,24.8,21.2,19.9,5.5
2005-01-06,,,,,0,0,1.4,5.3,1.675,19.3,11.0666666666667,19.35,,16.5722222222222,15.4,9.2,16.2,16.2,14.25,23.2,13.6,21.2,22.8,20.2,5.95
2005-01-07,,,,,1,0,0,,0.333333333333333,19.25,10.5333333333333,20.95,,16.9111111111111,15.1,8.8,14.4,13.8,13.025,23.4,12.2,23.4,20.4,19.85,6.825
2005-01-08,,,,,12.3,0,0,7.1,4.85,18.8,11.0666666666667,20.3,,16.7222222222222,16.4,6,13.4,15.6,12.85,21.2,11.8,23.8,19.4,19.05,6.2
2005-01-09,,,,,1,3.8,8.8,0,3.4,18.5,11.1333333333333,19.3,,16.3111111111111,16,8.8,17.2,16.2,14.55,21,13.6,22.8,22.4,19.95,5.4
2005-01-10,,,,,27,0,0,15.1,10.525,20.2,11.1333333333333,20.15,,17.1611111111111,17,8,14.6,17,14.15,23.4,14,22.4,23.2,20.75,6.6
