Fecha|Valor
2013-06-01 07:00:00|1.5
2013-06-02 07:00:00|4.2
2013-06-03 07:00:00|2.0
2013-06-04 07:00:00|22.0
2013-06-05 07:00:00|12.5
2013-06-06 07:00:00|2.0
2013-06-07 07:00:00|5.0
2013-06-08 07:00:00|2.5
2013-06-09 07:00:00|2.0
2013-06-10 07:00:00|1.0
2013-06-11 07:00:00|13.0
2013-06-12 07:00:00|6.5
2013-06-13 07:00:00|7.5
2013-06-14 07:00:00|13.3
2013-06-15 07:00:00|3.3
2013-06-16 07:00:00|12.1
2013-06-17 07:00:00|18.5
2013-06-18 07:00:00|44.5
2013-06-19 07:00:00|2.0
2013-06-20 07:00:00|3.0
2013-06-21 07:00:00|2.5
2013-06-22 07:00:00|4.5
2013-06-23 07:00:00|4.0
2013-06-24 07:00:00|3.2
2013-06-25 07:00:00|2.7
2013-06-26 07:00:00|10.0
2013-06-27 07:00:00|6.2
2013-06-28 07:00:00|6.0
2013-06-29 07:00:00|6.0
2013-06-30 07:00:00|16.7
