,Fecha,humedad_relativa
0,2006-03-01,60.0
3,2006-03-02,60.666666666666664
6,2006-03-03,75.66666666666667
9,2006-03-04,70.66666666666667
12,2006-03-05,77.0
15,2006-03-06,78.33333333333333
18,2006-03-07,86.66666666666667
21,2006-03-08,84.66666666666667
24,2006-03-09,79.33333333333333
27,2006-03-10,77.0
30,2006-03-11,79.0
33,2006-03-12,76.33333333333333
36,2006-03-13,77.66666666666667
39,2006-03-14,72.33333333333333
42,2006-03-15,82.0
45,2006-03-16,76.33333333333333
48,2006-03-17,79.33333333333333
51,2006-03-18,82.33333333333333
54,2006-03-19,81.66666666666667
57,2006-03-20,76.66666666666667
60,2006-03-21,75.0
63,2006-03-22,80.0
66,2006-03-23,80.0
69,2006-03-24,84.0
72,2006-03-25,83.66666666666667
75,2006-03-26,68.66666666666667
78,2006-03-27,76.0
81,2006-03-28,66.66666666666667
84,2006-03-29,57.0
87,2006-03-30,74.66666666666667
90,2006-03-31,78.66666666666667
93,2006-04-01,77.0
96,2006-04-02,88.0
99,2006-04-03,77.33333333333333
102,2006-04-04,93.0
105,2006-04-05,81.66666666666667
108,2006-04-06,79.66666666666667
111,2006-04-07,75.66666666666667
114,2006-04-08,78.33333333333333
117,2006-04-09,78.33333333333333
120,2006-04-10,75.66666666666667
123,2006-04-11,84.0
126,2006-04-12,82.66666666666667
129,2006-04-13,74.66666666666667
132,2006-04-14,90.66666666666667
135,2006-04-15,79.0
138,2006-04-16,80.0
141,2006-04-17,90.0
144,2006-04-18,78.33333333333333
147,2006-04-19,80.0
150,2006-04-20,83.0
153,2006-04-21,69.66666666666667
156,2006-04-22,67.0
159,2006-04-23,91.0
162,2006-04-24,85.0
165,2006-04-25,92.0
168,2006-04-26,88.66666666666667
171,2006-04-27,92.66666666666667
174,2006-04-28,69.66666666666667
177,2006-04-29,86.0
180,2006-04-30,87.0
183,2006-05-01,82.66666666666667
186,2006-05-02,81.33333333333333
189,2006-05-03,81.66666666666667
192,2006-05-04,79.0
195,2006-05-05,85.33333333333333
198,2006-05-06,86.0
201,2006-05-07,90.33333333333333
204,2006-05-08,84.66666666666667
207,2006-05-09,84.66666666666667
210,2006-05-10,83.66666666666667
213,2006-05-11,75.66666666666667
216,2006-05-12,82.33333333333333
219,2006-05-13,71.33333333333333
